iter	Passed	Remaining
0	1	147
1	2	146
2	4	141
3	5	137
4	7	134
5	8	130
6	9	128
7	11	127
8	12	126
9	13	124
10	15	122
11	16	122
12	18	120
13	19	119
14	20	118
15	22	117
16	23	116
17	25	115
18	26	113
19	27	111
20	29	110
21	30	108
22	31	106
23	32	104
24	34	102
25	35	100
26	36	98
27	37	97
28	39	95
29	40	94
30	41	92
31	42	90
32	44	89
33	45	87
34	46	86
35	47	85
36	49	83
37	50	82
38	51	80
39	52	79
40	54	77
41	55	76
42	56	75
43	57	73
44	58	71
45	60	70
46	61	69
47	62	67
48	63	66
49	65	65
50	66	63
51	67	62
52	68	61
53	70	59
54	71	58
55	72	57
56	74	55
57	75	54
58	76	53
59	78	52
60	79	50
61	80	49
62	83	48
63	84	47
64	86	46
65	87	45
66	89	43
67	90	42
68	91	41
69	93	39
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	104	31
77	105	29
78	106	28
79	108	27
80	109	25
81	111	24
82	113	23
83	114	21
84	116	20
85	117	19
86	119	17
87	120	16
88	121	15
89	123	13
90	124	12
91	125	10
92	127	9
93	128	8
94	130	6
95	131	5
96	132	4
97	134	2
98	135	1
99	137	0
